UID|OS|Browser|Device|startTime|devInfo|vibration|orientation|acceleration|rotationRate|proximity|light|magnetometer|compass|battery|geolocation|image|audio|endTime
217|"iOS 15"|FireFox122.1|"iPhone 13"|"2/2/2024, 10:43:03 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"2/2/2024, 10:44:02 AM"|1
218|"iOS 15"|FireFox122.1|"iPhone 13Pro"|"2/2/2024, 10:50:12 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"2/2/2024, 10:50:45 AM"|1
219|"iOS 15"|FireFox122.1|"iPhone 13ProMax"|"02/02/2024, 10:57:12"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"02/02/2024, 10:57:53"|1
220|"iOS 16"|FireFox122.1|"iPhone 12Mini"|"2/2/2024, 11:07:33 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|1|"2/2/2024, 11:08:14 AM"
221|"iOS 14"|FireFox119.2|"iPhone 12Mini"|"2/2/2024, 11:12:57 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/119.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"2/2/2024, 11:13:17 AM"
222|"iOS 16"|FireFox122.1|"iPhone 12ProMax"|"02/02/2024, 13:44:08"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"02/02/2024, 13:44:52"|1
223|"iOS 14"|FireFox119.2|"iPhone 12ProMax"|"02/02/2024, 13:52:49"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/119.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|0|"02/02/2024, 13:53:29"
224|"iOS 16"|FireFox122.1|"iPhone 12Pro"|"02/02/2024, 14:03:00"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|1|"02/02/2024, 14:03:39"
225|"iOS 14"|FireFox119.2|"iPhone 12Pro"|"02/02/2024, 14:07:57"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/119.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"02/02/2024, 14:08:17"
226|"iOS 15"|FireFox122.1|"iPhone XS"|"02/02/2024, 14:24:48"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"02/02/2024, 14:25:23"|1
232|"iOS 14"|FireFox119.2|"iPhone XS"|"2/7/2024, 8:42:17 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/119.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"2/7/2024, 8:42:46 AM"
237|"iOS 13"|FireFox111.2|"iPhone XS"|"07/02/2024, 08:49:05"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/111.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"07/02/2024, 08:49:25"
238|"iOS 15"|FireFox122.2|"iPhone 11Pro"|"07/02/2024, 08:55:43"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"07/02/2024, 08:56:08"
239|"iOS 15"|FireFox122.2|"iPhone 11Pro"|"07/02/2024, 09:00:46"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"07/02/2024, 09:01:10"
242|"iOS 13"|FireFox111.2|"iPhone 11Pro"|"2/7/2024, 9:08:33 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/111.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"2/7/2024, 9:08:53 AM"
243|"iOS 15"|FireFox122.2|"iPhone 11"|"07/02/2024, 09:40:10"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"07/02/2024, 09:40:33"
244|"iOS 15"|FireFox122.2|"iPhone SE2022"|"08/02/2024, 06:08:09"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"08/02/2024, 06:08:33"
245|"iOS 16"|FireFox122.2|"iPhone SE2020"|"08/02/2024, 06:16:38"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"08/02/2024, 06:17:03"
248|"iOS 13"|FireFox111.2|"iPhone SE2020"|"2/8/2024, 6:22:59 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/111.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"2/8/2024, 6:23:18 AM"
251|"iOS 13"|FireFox111.2|"iPhone 8"|"08/02/2024, 06:29:27"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/111.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"08/02/2024, 06:29:47"
252|"iOS 14"|FireFox119.2|"iPhone 11"|"2/8/2024, 6:40:28 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/119.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"2/8/2024, 6:40:47 AM"
253|"iOS 16"|FireFox122.2|"iPhone 11ProMax"|"08/02/2024, 06:44:16"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"08/02/2024, 06:44:42"
254|"iOS 14"|FireFox119.2|"iPhone 11ProMax"|"08/02/2024, 06:49:06"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/119.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"08/02/2024, 06:49:34"
257|"iOS 13"|FireFox111.2|"iPhone 11ProMax"|"2/8/2024, 6:56:42 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/111.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"2/8/2024, 6:57:01 AM"
258|"iOS 15"|FireFox122.2|"iPhone XR"|"2/8/2024, 7:02:37 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"2/8/2024, 7:03:03 AM"
259|"iOS 17"|FireFox122.1|"iPhone 15Plus"|"08/02/2024, 07:21:18"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"08/02/2024, 07:21:42"
260|"iOS 16"|FireFox122.1|"iPhone 12Pro"|"08/02/2024, 07:27:22"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"08/02/2024, 07:27:47"
261|"iOS 17"|FireFox122.1|"iPhone 15ProMax"|"2/8/2024, 7:33:18 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"2/8/2024, 7:33:43 AM"
262|"iOS 16"|FireFox122.2|"iPhone 14Plus"|"09/02/2024, 14:00:55"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"09/02/2024, 14:01:23"
